split,seed,episode,difficulty,step,gain,score_std,diversity,stagnation,hazard,cumulative_hazard,oracle_value,oracle_action
calibration,100,9,RUGGED,16,0.0,0.1627531119913024,0.20527626811594202,4,0.2889313212665411,3.434426635207849,0.008048691860465071,CONTINUE
calibration,100,9,RUGGED,32,0.0,0.19210232215958717,0.17504528985507245,13,0.793217824905628,11.433631865903784,-0.014825581395348834,STOP
calibration,100,10,EASY,4,0.0,0.10996836472419758,0.2871376811594203,1,0.15854424660942582,0.6433832723226047,0.1381558641975309,CONTINUE
calibration,100,10,EASY,8,0.0,0.12551267915967376,0.39662590579710144,3,0.2146296979563018,1.5880356630197514,0.10724344135802483,CONTINUE
calibration,100,10,EASY,16,0.0,0.15509233613717377,0.22610960144927536,1,0.15946415914611453,3.124131747231218,-0.015625,STOP
calibration,100,10,EASY,32,0.0,0.16478490106992968,0.19395380434782608,7,0.46463522897717996,10.070087196331295,-0.014467592592592594,STOP
calibration,100,10,MEDIUM,4,0.05963855421686748,0.10245321969666979,0.364356884057971,0,0.09233152877324746,0.6310041539030872,0.09110504518072288,CONTINUE
calibration,100,10,MEDIUM,8,0.0,0.11495052155180405,0.24422554347826086,4,0.29272909658926816,1.9356509299301567,0.12255271084337349,CONTINUE
calibration,100,10,MEDIUM,16,0.0,0.11942904023933822,0.2115036231884058,2,0.20508372708236833,4.180359636598313,0.06562499999999996,CONTINUE
calibration,100,10,MEDIUM,32,0.0,0.12779258529935222,0.21501358695652173,11,0.707160982994002,11.150028816359848,-0.014683734939759038,STOP
calibration,100,10,RUGGED,4,0.09912790697674434,0.08676756716011687,0.41134510869565216,0,0.07508328551101562,0.6441001267359427,0.16021984011627893,CONTINUE
calibration,100,10,RUGGED,8,0.013081395348837233,0.13671156808185847,0.2648324275362319,0,0.11980339364337812,1.358545132481248,0.11766896802325574,CONTINUE
calibration,100,10,RUGGED,16,0.0,0.16053033153584476,0.176856884057971,2,0.20270172669984116,3.180714564067929,0.040107194767441956,CONTINUE
calibration,100,10,RUGGED,32,0.013081395348837344,0.1525397248627329,0.2006340579710145,0,0.12465275968105366,11.84267893040884,0.003633720930232537,CONTINUE
calibration,100,11,EASY,4,0.06666666666666676,0.11640212266514331,0.23346920289855072,0,0.09916963622120334,0.6188603774132908,0.09031635802469135,CONTINUE
calibration,100,11,EASY,8,0.0,0.13061784913562827,0.21524003623188406,1,0.16493178455312082,1.5808780461837524,0.07336998456790117,CONTINUE
calibration,100,11,EASY,16,0.0,0.12620909605364194,0.21206974637681159,6,0.4101075809981115,4.326530088400802,0.02198109567901234,CONTINUE
calibration,100,11,EASY,32,0.0,0.14509801881575807,0.23086503623188406,1,0.16043666560325873,10.962827747855533,0.02699652777777769,CONTINUE
calibration,100,11,MEDIUM,4,0.06265060240963871,0.11310662081262288,0.23346920289855072,0,0.10133757801079621,0.6264522362290528,0.08821536144578307,CONTINUE
calibration,100,11,MEDIUM,8,0.0,0.1283916671932569,0.21524003623188406,1,0.16530004652077993,1.5909587099944142,0.07003953313252997,CONTINUE
calibration,100,11,MEDIUM,16,0.0,0.12378217116581779,0.21206974637681159,6,0.41081230911240035,4.345754457283094,0.022769201807228884,CONTINUE
calibration,100,11,MEDIUM,32,0.0,0.1402995378932128,0.23086503623188406,1,0.1612137906378367,10.99612658103408,0.026120105421686697,CONTINUE
calibration,100,11,RUGGED,4,0.05697674418604659,0.10858122397467139,0.23346920289855072,0,0.10445740619011111,0.6303257098768323,0.08468386627906976,CONTINUE
calibration,100,11,RUGGED,8,0.0,0.12570115792342446,0.20912590579710144,1,0.16659315424169102,1.503030848420423,0.061900436046511575,CONTINUE
calibration,100,11,RUGGED,16,0.0,0.11950675557544019,0.21614583333333334,3,0.24795405728038203,4.130378979197394,0.06805050872093016,CONTINUE
calibration,100,11,RUGGED,32,0.0,0.15286240794638128,0.2265625,5,0.3407401979534623,9.576125841959138,0.016724200581395246,CONTINUE
calibration,101,0,EASY,4,0.018827160493827155,0.06910197787162127,0.43376358695652173,0,0.10804944404866926,0.719367586119905,0.28386381172839503,CONTINUE
calibration,101,0,EASY,8,0.0,0.09766980385078056,0.2892889492753623,1,0.16023337038325466,1.383417529468533,0.10115740740740728,CONTINUE
calibration,101,0,EASY,16,0.0012345679012345512,0.15373711508953533,0.18738677536231885,0,0.132613687727455,3.2677963055124035,0.08527199074074068,CONTINUE
calibration,101,0,EASY,32,0.0,0.19827796799781888,0.19259510869565216,9,0.5791954057467751,9.121245498503423,-0.012268518518518522,STOP
calibration,101,0,MEDIUM,4,0.025602409638554202,0.06955385598394793,0.43455615942028986,0,0.10470252204246272,0.7172780188726113,0.27855798192771075,CONTINUE
calibration,101,0,MEDIUM,8,0.0,0.09537342014673458,0.2892889492753623,1,0.1606045155593337,1.388972986790108,0.11193524096385532,CONTINUE
calibration,101,0,MEDIUM,16,0.01716867469879524,0.17404610826850578,0.22792119565217392,0,0.11684835935213286,3.102332819471869,0.008989081325301171,CONTINUE
calibration,101,0,MEDIUM,32,0.0,0.16957667434416593,0.17289402173913043,6,0.4069988373169378,9.78344175936334,0.036295180722891576,CONTINUE
calibration,101,0,RUGGED,4,0.035174418604651314,0.0638268146885891,0.44100996376811596,0,0.10033803756917996,0.7130840952437755,0.2711482558139534,CONTINUE
calibration,101,0,RUGGED,8,0.0,0.09226634252167804,0.2892889492753623,1,0.16110779263076286,1.4009137054907024,0.12199309593023247,CONTINUE
calibration,101,0,RUGGED,16,0.020058139534883557,0.1742477141809738,0.20221920289855072,0,0.11798962130711173,3.2286850995063676,0.008920784883720959,CONTINUE
calibration,101,0,RUGGED,32,0.0,0.16735812472003483,0.17289402173913043,6,0.4076415344934692,9.925805620464727,0.03391170058139531,CONTINUE
calibration,101,1,EASY,4,0.06913580246913598,0.08417178413533678,0.45516304347826086,0,0.08303187077897538,0.5771798383146971,0.17035108024691348,CONTINUE
calibration,101,1,EASY,8,0.005555555555555314,0.11456783090597122,0.23256340579710144,0,0.13035511379635314,1.3273110967703659,0.14226466049382724,CONTINUE
